date,usd_rate
2025-09-23,12257.13
2025-09-24,12171.03
2025-09-25,12219.08
2025-09-26,12199.71
2025-09-27,12199.71
2025-09-28,12199.71
2025-09-29,12138.67
2025-09-30,12067.76
2025-10-01,12067.76
2025-10-02,12084.1
2025-10-03,12099.72
2025-10-04,12099.72
2025-10-05,12099.72
2025-10-06,12060.48
2025-10-07,12022.9
2025-10-08,12038.68
2025-10-09,12072.03
2025-10-10,12123.38
2025-10-11,12123.38
2025-10-12,12123.38
2025-10-13,12140.91
2025-10-14,12149.55
2025-10-15,12185.11
2025-10-16,12233.67
2025-10-17,12160.99
2025-10-18,12160.99
2025-10-19,12160.99
2025-10-20,12108.24
2025-10-21,12060.15
2025-10-22,12011.02
2025-10-23,12101.29
2025-10-24,12129.33
2025-10-25,12129.33
2025-10-26,12129.33
2025-10-27,12117.35
2025-10-28,12053.46
2025-10-29,12004.47
2025-10-30,11990.53
2025-10-31,12025.22
2025-11-01,12025.22
2025-11-02,12025.22
2025-11-03,12005.09
2025-11-04,11972.34
2025-11-05,11950.63
2025-11-06,11970.67
2025-11-07,12022.92
2025-11-08,12022.92
2025-11-09,12022.92
2025-11-10,12060.27
2025-11-11,12014.94
2025-11-12,11990.0
2025-11-13,11972.35
2025-11-14,11985.1
2025-11-15,11985.1
2025-11-16,11985.1
2025-11-17,12039.61
2025-11-18,12009.92
2025-11-19,11940.7
2025-11-20,11910.93
2025-11-21,11914.67
2025-11-22,11914.67
2025-11-23,11914.67
2025-11-24,11971.4
2025-11-25,11988.32
2025-11-26,11936.89
2025-11-27,11881.6
2025-11-28,11902.3
2025-11-29,11902.3
2025-11-30,11902.3
2025-12-01,11940.95
2025-12-02,11895.57
2025-12-03,11880.93
2025-12-04,11912.38
2025-12-05,11963.23
2025-12-06,11963.23
2025-12-07,11963.23
2025-12-08,11963.23
2025-12-09,11990.09
2025-12-10,12003.18
2025-12-11,12020.9
2025-12-12,12047.45
2025-12-13,12047.45
2025-12-14,12047.45
2025-12-15,12097.93
2025-12-16,12130.01
2025-12-17,12105.56
2025-12-18,12059.78
2025-12-19,12021.61
2025-12-20,12021.61
2025-12-21,12021.61
2025-12-22,11996.14
2025-12-23,12010.43
2025-12-24,12052.33
2025-12-25,12067.6
2025-12-26,12078.47
2025-12-27,12078.47
2025-12-28,12078.47
